version,classpath,LOC,LOC_TOUCHED,REVS,FIXES,AUTH,LOC_ADDED,MAX_LOC_ADDED,AVG_LOC_ADDED,CHURN,MAX_CHURN,AVG_CHURN,CHANGE_SET_SIZE,MAX_CHANGE_SET,AVG_CHANGE_SET,AGE,WEIGHTED_AGE,COMMENT_LINES,NESTING_DEPTH,DECISION_POINTS,nsmells,DISTINCT_SMELL_TYPES,BUGGY
"1.1.0","src/java/org/apache/avro/Schema.java",597,70,4,1,1,37,23,9.250000,44,22,11.000000,456,110,22.800000,396,377.364809,77,8,84,"133",15,"YES"
"1.1.0","src/java/org/apache/avro/Protocol.java",248,7,2,1,1,5,3,2.500000,3,2,1.500000,436,110,29.066667,396,386.771836,53,3,31,"29",5,"NO"
"1.1.0","src/java/org/apache/avro/AvroTypeException.java",4,1,1,0,1,1,1,1.000000,1,1,1.000000,311,110,62.200000,396,392.704545,18,0,0,"0",0,"NO"
"1.1.0","src/java/org/apache/avro/AvroRuntimeException.java",5,1,1,0,1,1,1,1.000000,1,1,1.000000,285,110,71.250000,396,394.493151,17,0,0,"0",0,"NO"
"1.2.0","src/java/org/apache/avro/util/Utf8.java",56,0,0,0,0,0,0,0.000000,0,0,0.000000,310,110,62.000000,396,387.182879,18,2,9,"12",4,"NO"
"1.2.0","src/java/org/apache/avro/specific/SpecificResponder.java",16,2,1,1,1,1,1,1.000000,0,0,0.000000,348,110,49.714286,396,385.885350,18,0,0,"0",0,"YES"
"1.2.0","src/java/org/apache/avro/specific/SpecificRequestor.java",47,2,1,1,1,1,1,1.000000,0,0,0.000000,389,110,38.900000,396,366.349776,21,0,0,"0",0,"NO"
"1.2.0","src/java/org/apache/avro/specific/SpecificRecordBase.java",42,0,0,0,0,0,0,0.000000,0,0,0.000000,95,65,31.666667,342,322.243902,18,3,8,"13",5,"YES"
"1.2.0","src/java/org/apache/avro/specific/SpecificRecord.java",6,0,0,0,0,0,0,0.000000,0,0,0.000000,336,110,56.000000,396,386.204082,19,0,0,"0",0,"YES"
"1.2.0","src/java/org/apache/avro/specific/SpecificFixed.java",8,0,0,0,0,0,0,0.000000,0,0,0.000000,309,110,51.500000,396,389.631068,18,0,0,"0",0,"NO"
"1.2.0","src/java/org/apache/avro/specific/SpecificExceptionBase.java",15,0,0,0,0,0,0,0.000000,0,0,0.000000,315,110,52.500000,396,380.823529,18,0,0,"2",1,"YES"
"1.2.0","src/java/org/apache/avro/specific/SpecificDatumWriter.java",15,8,1,1,1,6,6,6.000000,4,4,4.000000,373,110,41.444444,396,382.945783,18,0,0,"1",1,"NO"
"1.2.0","src/java/org/apache/avro/specific/SpecificDatumReader.java",21,12,1,1,1,5,5,5.000000,2,2,2.000000,399,110,36.272727,396,387.691638,18,0,0,"0",0,"YES"
"1.2.0","src/java/org/apache/avro/specific/SpecificData.java",64,29,1,0,1,28,28,28.000000,27,27,27.000000,59,27,19.666667,250,243.901786,21,5,11,"3",2,"YES"
