Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureOutOfBagError
Dataset,1,1,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.MultiFilter -F \\\"weka.filters.supervised.attribute.AttributeSelection -E \\\\\\\"weka.attributeSelection.WrapperSubsetEval -B weka.classifiers.bayes.NaiveBayes -F 5 -T 0.01 -R 1 -E AUC --\\\\\\\" -S \\\\\\\"weka.attributeSelection.GreedyStepwise -B -T -1.7976931348623157E308 -N -1 -num-slots 1\\\\\\\"\\\" -F \\\"weka.filters.supervised.instance.Resample -B 1.0 -S 1 -Z 170.25\\\" -S 1\" -S 1 -W weka.classifiers.bayes.NaiveBayes',-4523450618538717400,2.02604291711E7,1657.0,185.0,165.0,20.0,0.0,89.1891891891892,10.81081081081081,0.0,0.6024924795874516,0.17187280025725638,0.2808866706375153,67.35662451759654,78.37250575213176,113.4505525388883,86.21166220876952,27.238890330118778,0.6132462299399368,0.4660089849122677,0.14723724502766908,23.149632726060386,0.12513314987059668,20.405041851272788,0.7142857142857143,20.0,0.07643312101910828,12.0,0.9235668789808917,145.0,0.2857142857142857,8.0,0.625,0.7142857142857143,0.6666666666666666,0.6044055767521186,0.9160600545950864,0.7205737066079497,0.8918918918918919,0.2540392986252859,0.745960701374714,0.10810810810810811,0.8988694576929871,0.8918918918918919,0.8947980238302818,0.6044055767521186,0.9160600545950865,0.9411043921705052,0.8010752688172043,0.8918918918918919,7.551,0.001,7.456351663,6.23504E-4,7456.351663,0.623504,57789.0,403463.0,78151.0,98.91891891891892,82.43243243243244,?,?
Dataset,1,2,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.MultiFilter -F \\\"weka.filters.supervised.attribute.AttributeSelection -E \\\\\\\"weka.attributeSelection.WrapperSubsetEval -B weka.classifiers.bayes.NaiveBayes -F 5 -T 0.01 -R 1 -E AUC --\\\\\\\" -S \\\\\\\"weka.attributeSelection.GreedyStepwise -B -T -1.7976931348623157E308 -N -1 -num-slots 1\\\\\\\"\\\" -F \\\"weka.filters.supervised.instance.Resample -B 1.0 -S 1 -Z 170.25\\\" -S 1\" -S 1 -W weka.classifiers.bayes.NaiveBayes',-4523450618538717400,2.02604291711E7,1657.0,185.0,170.0,15.0,0.0,91.89189189189189,8.108108108108109,0.0,0.7282342571736364,0.15429812407793073,0.25320198768559943,60.46914224781716,70.6479741146195,113.4505525388883,62.36530679261689,51.08524574627141,0.6132462299399368,0.3371097664465778,0.27613646349335896,29.07291264988853,0.15715087918858664,25.62606527625591,0.9285714285714286,26.0,0.08280254777070063,13.0,0.9171974522292994,144.0,0.07142857142857142,2.0,0.6666666666666666,0.9285714285714286,0.7761194029850746,0.7431420089420034,0.968835304822566,0.8477742459161469,0.918918918918919,0.07315003811819099,0.926849961881809,0.08108108108108109,0.9379242255954584,0.918918918918919,0.924103059761402,0.7431420089420034,0.9688353048225661,0.972199727011146,0.8633072262450125,0.918918918918919,4.454,0.0,4.401228083,3.74078E-4,4401.228083,0.374078,57793.0,403463.0,78151.0,99.45945945945945,78.64864864864865,?,?
Dataset,1,3,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.MultiFilter -F \\\"weka.filters.supervised.attribute.AttributeSelection -E \\\\\\\"weka.attributeSelection.WrapperSubsetEval -B weka.classifiers.bayes.NaiveBayes -F 5 -T 0.01 -R 1 -E AUC --\\\\\\\" -S \\\\\\\"weka.attributeSelection.GreedyStepwise -B -T -1.7976931348623157E308 -N -1 -num-slots 1\\\\\\\"\\\" -F \\\"weka.filters.supervised.instance.Resample -B 1.0 -S 1 -Z 170.25\\\" -S 1\" -S 1 -W weka.classifiers.bayes.NaiveBayes',-4523450618538717400,2.02604291711E7,1658.0,184.0,155.0,29.0,0.0,84.23913043478261,15.76086956521739,0.0,0.4614452967299152,0.21136130576191353,0.34650857188320316,83.77653417067077,97.92370583495541,110.70539784308794,414.0469051233175,-303.34150728022956,0.6016597708863475,2.250254919148465,-1.6485951482621173,-1.6243418396350218,-0.008827944780625119,-1.4672652565120068,0.6666666666666666,18.0,0.12738853503184713,20.0,0.8726114649681529,137.0,0.3333333333333333,9.0,0.47368421052631576,0.6666666666666666,0.5538461538461538,0.47138557841697837,0.8977353149327671,0.5400005004959626,0.842391304347826,0.30311317271300653,0.6968868272869935,0.15760869565217392,0.8701706059371179,0.842391304347826,0.8528665408346854,0.47138557841697837,0.8978359590551505,0.9170765269212492,0.729068291444529,0.842391304347826,4.154,0.0,4.112889787,2.88993E-4,4112.889787,0.288993,57789.0,403684.0,77930.0,95.65217391304348,82.33695652173913,?,?
Dataset,1,4,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.MultiFilter -F \\\"weka.filters.supervised.attribute.AttributeSelection -E \\\\\\\"weka.attributeSelection.WrapperSubsetEval -B weka.classifiers.bayes.NaiveBayes -F 5 -T 0.01 -R 1 -E AUC --\\\\\\\" -S \\\\\\\"weka.attributeSelection.GreedyStepwise -B -T -1.7976931348623157E308 -N -1 -num-slots 1\\\\\\\"\\\" -F \\\"weka.filters.supervised.instance.Resample -B 1.0 -S 1 -Z 170.25\\\" -S 1\" -S 1 -W weka.classifiers.bayes.NaiveBayes',-4523450618538717400,2.02604291711E7,1658.0,184.0,159.0,25.0,0.0,86.41304347826087,13.58695652173913,0.0,0.5798319327731092,0.2331189981425641,0.31961791998582456,92.40055384462084,90.32437785354932,110.70539784308794,91.38013731546762,19.325260527620316,0.6016597708863475,0.496631181062324,0.10502858982402345,-16.991196579025743,-0.09234345966861816,-15.348119342029548,0.8888888888888888,24.0,0.14012738853503184,22.0,0.8598726114649682,135.0,0.1111111111111111,3.0,0.5217391304347826,0.8888888888888888,0.6575342465753423,0.6118666114251771,0.9563576315168671,0.8549969392216993,0.8641304347826086,0.11536893442875165,0.8846310655712483,0.1358695652173913,0.9112712665406427,0.8641304347826086,0.8774366299552803,0.611866611425177,0.9563576315168673,0.9718708262890245,0.786394241931739,0.8641304347826086,4.032,0.0,4.005503186,2.1365700000000002E-4,4005.503186,0.213657,57199.0,403684.0,77930.0,100.0,96.73913043478261,?,?
Dataset,1,5,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.MultiFilter -F \\\"weka.filters.supervised.attribute.AttributeSelection -E \\\\\\\"weka.attributeSelection.WrapperSubsetEval -B weka.classifiers.bayes.NaiveBayes -F 5 -T 0.01 -R 1 -E AUC --\\\\\\\" -S \\\\\\\"weka.attributeSelection.GreedyStepwise -B -T -1.7976931348623157E308 -N -1 -num-slots 1\\\\\\\"\\\" -F \\\"weka.filters.supervised.instance.Resample -B 1.0 -S 1 -Z 170.25\\\" -S 1\" -S 1 -W weka.classifiers.bayes.NaiveBayes',-4523450618538717400,2.02604291711E7,1658.0,184.0,162.0,22.0,0.0,88.04347826086956,11.956521739130435,0.0,0.586009408877071,0.20185264328007904,0.30574816458380255,80.00761921031322,86.40476962969221,110.70539784308794,294.8590314718748,-184.15363362878685,0.6016597708863475,1.6024947362601891,-1.0008349653738415,7.377964396467819,0.04009763258949901,6.664502851907209,0.7777777777777778,21.0,0.10191082802547771,16.0,0.8980891719745223,141.0,0.2222222222222222,6.0,0.5675675675675675,0.7777777777777778,0.65625,0.596668881841416,0.8924274593064402,0.6140625707699839,0.8804347826086957,0.20456783285639557,0.7954321671436044,0.11956521739130435,0.9017182666250988,0.8804347826086957,0.8878092820366134,0.5966688818414159,0.8925281034288236,0.919220618957723,0.7919407894736843,0.8804347826086957,4.126,0.001,4.095745246,2.1041099999999997E-4,4095.745246,0.210411,57307.0,403684.0,77930.0,98.3695652173913,94.29347826086956,?,?
Dataset,1,6,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.MultiFilter -F \\\"weka.filters.supervised.attribute.AttributeSelection -E \\\\\\\"weka.attributeSelection.WrapperSubsetEval -B weka.classifiers.bayes.NaiveBayes -F 5 -T 0.01 -R 1 -E AUC --\\\\\\\" -S \\\\\\\"weka.attributeSelection.GreedyStepwise -B -T -1.7976931348623157E308 -N -1 -num-slots 1\\\\\\\"\\\" -F \\\"weka.filters.supervised.instance.Resample -B 1.0 -S 1 -Z 170.25\\\" -S 1\" -S 1 -W weka.classifiers.bayes.NaiveBayes',-4523450618538717400,2.02604291711E7,1658.0,184.0,163.0,21.0,0.0,88.58695652173913,11.41304347826087,0.0,0.5995024875621893,0.253568359863007,0.3282514861355345,100.50599511621711,92.76423320072323,110.70539784308794,99.82687221408571,10.878525629002226,0.6016597708863475,0.5425373489895963,0.05912242189675123,-32.38880448748772,-0.17602611134504195,-29.256752713535334,0.7777777777777778,21.0,0.09554140127388536,15.0,0.9044585987261147,142.0,0.2222222222222222,6.0,0.5833333333333334,0.7777777777777778,0.6666666666666666,0.6085334733171076,0.8891247935833924,0.7305055122510824,0.8858695652173914,0.20363318871349884,0.7963668112865012,0.11413043478260869,0.9042670387779083,0.8858695652173914,0.8923378474697078,0.6085334733171076,0.8891247935833925,0.930231946822332,0.7989071038251365,0.8858695652173914,4.131,0.0,4.1053606170000005,1.4588899999999999E-4,4105.360617,0.145889,56431.0,403684.0,77930.0,100.0,98.6413043478261,?,?
Dataset,1,7,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.MultiFilter -F \\\"weka.filters.supervised.attribute.AttributeSelection -E \\\\\\\"weka.attributeSelection.WrapperSubsetEval -B weka.classifiers.bayes.NaiveBayes -F 5 -T 0.01 -R 1 -E AUC --\\\\\\\" -S \\\\\\\"weka.attributeSelection.GreedyStepwise -B -T -1.7976931348623157E308 -N -1 -num-slots 1\\\\\\\"\\\" -F \\\"weka.filters.supervised.instance.Resample -B 1.0 -S 1 -Z 170.25\\\" -S 1\" -S 1 -W weka.classifiers.bayes.NaiveBayes',-4523450618538717400,2.02604291711E7,1658.0,184.0,163.0,21.0,0.0,88.58695652173913,11.41304347826087,0.0,0.6100121114251112,0.18141883648033447,0.2930057246484852,71.90834338768931,82.80374200412976,110.70539784308794,310.29599032231465,-199.5905924792267,0.6016597708863475,1.6863912517517101,-1.0847314808653625,13.55137605241503,0.07364878289355994,12.240935235716812,0.8148148148148148,22.0,0.10191082802547771,16.0,0.8980891719745223,141.0,0.18518518518518517,5.0,0.5789473684210527,0.8148148148148148,0.6769230769230768,0.6231527637690765,0.9455060155697098,0.6498561734302947,0.8858695652173914,0.17296557842805418,0.8270344215719458,0.11413043478260869,0.9089938403184853,0.8858695652173914,0.8934550812940827,0.6231527637690764,0.9457073038144763,0.9408706363636393,0.8038080731150038,0.8858695652173914,4.131,0.0,4.101009380000001,1.84575E-4,4101.00938,0.184575,57501.0,403684.0,77930.0,97.82608695652173,82.6086956521739,?,?
Dataset,1,8,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.MultiFilter -F \\\"weka.filters.supervised.attribute.AttributeSelection -E \\\\\\\"weka.attributeSelection.WrapperSubsetEval -B weka.classifiers.bayes.NaiveBayes -F 5 -T 0.01 -R 1 -E AUC --\\\\\\\" -S \\\\\\\"weka.attributeSelection.GreedyStepwise -B -T -1.7976931348623157E308 -N -1 -num-slots 1\\\\\\\"\\\" -F \\\"weka.filters.supervised.instance.Resample -B 1.0 -S 1 -Z 170.25\\\" -S 1\" -S 1 -W weka.classifiers.bayes.NaiveBayes',-4523450618538717400,2.02604291711E7,1658.0,184.0,165.0,19.0,0.0,89.67391304347827,10.326086956521738,0.0,0.617002629272568,0.1822762953694417,0.30109467640005905,72.24821133875201,85.08968871976039,110.70539784308794,316.99983765252915,-206.2944398094412,0.6016597708863475,1.7228252046333106,-1.121165433746963,15.59251483478727,0.08474192844993081,14.08469247081145,0.7407407407407407,20.0,0.07643312101910828,12.0,0.9235668789808917,145.0,0.25925925925925924,7.0,0.625,0.7407407407407407,0.6779661016949152,0.6201605826396035,0.9070535503656523,0.5799120976963898,0.8967391304347826,0.23243151071315013,0.7675684892868498,0.10326086956521739,0.9056779176201373,0.8967391304347826,0.9002791470810589,0.6201605826396035,0.9070535503656523,0.9241055948773322,0.8082387142778784,0.8967391304347826,4.048,0.0,4.013036347,2.0781399999999999E-4,4013.036347,0.207814,57795.0,403684.0,77930.0,98.91304347826087,83.69565217391305,?,?
Dataset,1,9,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.MultiFilter -F \\\"weka.filters.supervised.attribute.AttributeSelection -E \\\\\\\"weka.attributeSelection.WrapperSubsetEval -B weka.classifiers.bayes.NaiveBayes -F 5 -T 0.01 -R 1 -E AUC --\\\\\\\" -S \\\\\\\"weka.attributeSelection.GreedyStepwise -B -T -1.7976931348623157E308 -N -1 -num-slots 1\\\\\\\"\\\" -F \\\"weka.filters.supervised.instance.Resample -B 1.0 -S 1 -Z 170.25\\\" -S 1\" -S 1 -W weka.classifiers.bayes.NaiveBayes',-4523450618538717400,2.02604291711E7,1658.0,184.0,160.0,24.0,0.0,86.95652173913044,13.043478260869565,0.0,0.49450549450549447,0.275536878299247,0.3490046916587932,107.76478194494199,97.16023584743003,113.2186052906433,108.37713275779222,4.841472532851071,0.6153185070143657,0.5890061562923491,0.02631235072201669,-45.09920919522303,-0.2451043978001252,-39.83374382633396,0.5714285714285714,16.0,0.07692307692307693,12.0,0.9230769230769231,144.0,0.42857142857142855,12.0,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.4945054945054945,0.8063186813186813,0.6001951605094377,0.8695652173913043,0.3750597228858098,0.6249402771141901,0.13043478260869565,0.8695652173913043,0.8695652173913043,0.8695652173913043,0.49450549450549447,0.8063186813186813,0.8934204396489029,0.7472527472527473,0.8695652173913043,4.583,0.0,4.534613011999999,2.14186E-4,4534.613012,0.214186,56729.0,403684.0,77930.0,100.0,98.6413043478261,?,?
Dataset,1,10,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.MultiFilter -F \\\"weka.filters.supervised.attribute.AttributeSelection -E \\\\\\\"weka.attributeSelection.WrapperSubsetEval -B weka.classifiers.bayes.NaiveBayes -F 5 -T 0.01 -R 1 -E AUC --\\\\\\\" -S \\\\\\\"weka.attributeSelection.GreedyStepwise -B -T -1.7976931348623157E308 -N -1 -num-slots 1\\\\\\\"\\\" -F \\\"weka.filters.supervised.instance.Resample -B 1.0 -S 1 -Z 170.25\\\" -S 1\" -S 1 -W weka.classifiers.bayes.NaiveBayes',-4523450618538717400,2.02604291711E7,1658.0,184.0,166.0,18.0,0.0,90.21739130434783,9.782608695652174,0.0,0.6515151515151516,0.1624071009088933,0.2776311520048399,63.518778044473855,77.29038850215787,113.2186052906433,109.30886408252294,3.9097412081203515,0.6153185070143657,0.5940699134919726,0.021248593522393215,29.33178331098954,0.15941186582059533,25.907211306562175,0.7857142857142857,22.0,0.07692307692307693,12.0,0.9230769230769231,144.0,0.21428571428571427,6.0,0.6470588235294118,0.7857142857142857,0.7096774193548386,0.6559557586733886,0.9468864468864469,0.7164444969202206,0.9021739130434783,0.19338270425226944,0.8066172957477306,0.09782608695652174,0.9123785166240409,0.9021739130434783,0.9059483540961967,0.6559557586733886,0.9468864468864469,0.9489793344084652,0.825426944971537,0.9021739130434783,4.702,0.0,4.655512915999999,2.60869E-4,4655.512916,0.260869,57793.0,403684.0,77930.0,97.82608695652173,76.3586956521739,?,?
